draw,layer,Committee015,A_Stat,A_Dynamic,B_Stat
1275,other,1.1641985177993774,,,
1276,B,2.1644155979156494,,,1.6547178030014038
1277,A,-1.1771410703659058,-0.771858811378479,0.2916897237300873,
1278,A,0.19239214062690735,1.129068374633789,0.731560230255127,
1279,A,-0.7327612638473511,-0.8490020036697388,-0.35292428731918335,
1280,A,0.3855489194393158,-0.43726834654808044,-0.9109129309654236,
1281,A,-1.379136323928833,-0.7782440781593323,-0.39061540365219116,
1282,other,0.35524898767471313,,,
1283,A,1.9118342399597168,-0.002080779056996107,-0.13947126269340515,
1284,A,0.7426280379295349,1.072709321975708,0.15286335349082947,
1285,A,0.09130771458148956,0.6251363158226013,1.4919848442077637,
1286,other,0.7154397964477539,,,
1287,B,-1.4745814800262451,,,-1.3965508937835693
1288,A,-0.27817660570144653,-0.46092772483825684,-0.03267094865441322,
1289,B,1.1138365268707275,,,0.6429777145385742
1290,other,-6.887702465057373,,,
1291,B,0.9768030047416687,,,0.7246638536453247
1292,A,0.6731853485107422,1.8389118909835815,1.1574395895004272,
1293,A,0.5613192319869995,1.7210978269577026,0.9373277425765991,
1294,other,0.702679455280304,,,
1295,A,1.0780541896820068,0.9664438366889954,0.8078252077102661,
1296,A,1.030678391456604,1.1435267925262451,1.2345318794250488,
1297,A,-0.629998505115509,-1.3910235166549683,-1.262450098991394,
1298,B,0.5683640837669373,,,0.22654947638511658
1299,B,2.551473379135132,,,1.9416618347167969
1300,B,-0.07525646686553955,,,-0.08496721088886261
1301,B,-0.6298134922981262,,,-1.1963165998458862
1302,A,-0.6368125677108765,-1.4983443021774292,-2.139329195022583,
1303,other,0.3336349427700043,,,
1304,other,-0.785926342010498,,,
1305,A,-0.4633212387561798,1.4604493379592896,2.667039394378662,
1306,B,1.671803593635559,,,0.4027481973171234
1307,other,-2.207441806793213,,,
1308,A,-1.6388200521469116,-0.8873955011367798,0.14885136485099792,
1309,A,0.46170371770858765,0.525170087814331,-0.3547917604446411,
1310,B,0.38455086946487427,,,-0.38114991784095764
1311,A,-0.05660040304064751,-2.1242635250091553,-2.234316110610962,
1312,other,-0.02192014269530773,,,
1313,other,-0.24144946038722992,,,
1314,other,-0.9054192900657654,,,
1315,A,-0.4328538179397583,-0.3248240351676941,-0.23340876400470734,
1316,B,-0.26413577795028687,,,-0.5175146460533142
1317,other,1.3547965288162231,,,
1318,A,0.1536443680524826,0.3802430033683777,0.04437968507409096,
1319,A,0.2941285967826843,0.8448343873023987,1.6945308446884155,
1320,other,-0.3772195875644684,,,
1321,other,-0.3508372902870178,,,
1322,A,-1.3756225109100342,0.04219483211636543,0.774625837802887,
1323,A,-0.5300034880638123,-1.2993066310882568,-1.7014079093933105,
1324,A,0.006661832332611084,0.4412716329097748,0.29696419835090637,
1325,B,-0.04362180829048157,,,0.4331122934818268
1326,A,0.11360499262809753,0.6255297064781189,0.33014756441116333,
1327,B,0.5399523973464966,,,-0.139581561088562
1328,A,0.7189670205116272,1.5600659847259521,1.6855188608169556,
1329,other,-0.5393018126487732,,,
1330,A,0.7153968214988708,0.20510374009609222,-0.5679235458374023,
1331,A,-0.14271289110183716,-0.6129483580589294,-1.360033392906189,
1332,B,-1.530825138092041,,,-0.8281733393669128
1333,A,-0.07705812901258469,0.4800528883934021,0.7871262431144714,
1334,B,-0.25038811564445496,,,-0.9689233899116516
1335,other,-0.4252011179924011,,,
1336,other,0.1810230165719986,,,
1337,A,-0.4875614047050476,-1.1369364261627197,-2.280898094177246,
1338,B,1.7546392679214478,,,1.039136290550232
1339,A,1.7720307111740112,1.5574759244918823,0.8150464296340942,
1340,A,-1.2224876880645752,-1.4339759349822998,-1.573499321937561,
1341,A,-1.1707298755645752,0.11025536805391312,0.32660090923309326,
